11,"Here is one the entire family will enjoy... even those who consider themselves too old for fairy tales. Shelley Duvall outdid herself with this unique, imaginative take on nearly all of the popular fairy tales of childhood. The scripts offer new twists on the age-old fables we grew up on and they feature a handful of stars in each episode. ""Cinderella"" is no exception to Duvall's standard and in my opinion it's one of the top five of the series, highlighted by Jennifer Beals (remember her from ""Flashdance""--and she's still in Hollywood today making a movie here and there) in the title role, Jean Stapleton as the fairy godmother with a southern accent and Eve Arden as the embodiment of wicked stepmotherhood. Edie McClurg (""Ferris Bueller's Day Off"") and Jane Alden make for a hilarious duo as the stepsisters. Matthew Broderick is an affable Prince Henry. You'll all keep coming back for this one!"
12,"This movie took the Jerry Springer approach to super-human power. ""Wilder Napalm"" is the kind of theme-based movie that I love, addressing the idea that prodigies in America are defined either by their gifts or by attempts to hide them. At the same time, the movie points out that every prodigy is only human, and no more to be feared or worshipped than any other human being. This was a great comedy, fun and human with that slight satiric edge."
13,"My 7-year-old daughter loved it, as Disney execs crassly calculated that she would. That's the problem with ""Air Buddies."" It's a strictly by-the-numbers children's film filled with carefully calculated cuteness, a couple politically correct morals, and enough potty humor to avoid the dreaded G rating. As a parent, or even as a 10-year-old, you've seen it all before, and done better before. Think ""101 Dalmatians Meets Home Alone"" and you get the general idea. I'm of the opinion that a good children's story is a good story, period. ""Air Buddies,"" which is about as original as recycled paper, fails to meet that standard. It isn't the worst video your child could watch, but there are megatons of better ones."
14,"Purportedly made back to back with 'Erotic Nights of the Living Dead' with the same cast and setting but for certain this one does not have Laura Gemser. Much derided by all I rather like this movie. Sure enough the storyline and dialogue are codswallop, but this is so beautifully filmed in such a marvellous setting and I actually like the hardcore. I find it at once naturalistic and exotic, and that doesn't just mean there is a black girl and some limp penises! I find the numerous and varied sex scenes very believable, even if two are set upon a tree trunk at the edge of the ocean with the waves constantly splashing around. The creature does not deign to appear until half hour before the end and is, it has to be said, a disappointment. Still, in the time remaining he manages to kill off all but two of the expedition and in the case of the girls having sex with them first (or afterwards in at least one case!) and this film is not as slow as some maintain. Moreover there are some fine moments of sexploitation, not least the lady scientist and her urge for two 'natives', and the glorious finale when the two survivors speed off in their boat, gaze back at the island they have escaped from, and find there is still time for one last act of copulation."
15,"Really, really bad slasher movie. A psychotic person escapes from an asylum. Three years later he kills a sociology professor, end of scene. One semester yesterday later (hey, that's what the title card said) a new sociology professor is at the school. She makes friends with another female sociology professor who works there, and starts dating another professor. The students are all bored, as are we.<br /><br />There are a number of title cards indicating how much time has passed. Scenes are pretty short, and cut to different characters somewhere else, making for little progression of any kind. A lot of scenes involve characters walking and talking, or sitting and talking, and serve little purpose. Despite the passage of time, many of the characters are always wearing the same clothing. Sometimes the unclear passage of time means when we see a body for the second time, we ask ourselves: how long has that body been there? And also, at least one of the dead people don't seem to have been missed by others.<br /><br />The killer manages to kill one person by stabbing her in the breast, another by stabbing him in the crotch, and another by slicing her forehead. Is his knife poisoned or something?<br /><br />The video box cover has a cheerleader: there aren't any in the movie. The rear cover has a photo of someone in a graduation cap and gown menacing a group of women in a dorm room. The central redhead in the photo is in the movie, but nobody ever wears such an outfit, and there is no such scene. The killer is strictly one-on-one."
16,"I watched this series after Tipping the Velvet, for which I gave 10/10 grade. I had read user comments on this and I expected an equally good series, or if possible, even better. At this point I must emphasize that this series is good, and it definitely captured me throughout it and thus worth watching. However, I didn't enjoy it as much as Tipping the Velvet, for the following reasons: <br /><br />1. Less passion, love, and related sexual content. There were surprisingly little emphasis in these elements, which I held integral for a love story. Fingersmith felt like a watered down version of Tipping the Velvet.<br /><br />2. Similarly, as in Tipping the Velvet, the story had three parts: the beginning, a shocking second part, and the ending. The second part should have been the climax of the story (as in Tipping the Velvet), but instead it was almost totally skipped, perhaps due to inability to make shocking but believable asylum content. The series should have been in three parts, featuring two cliffhangers, with a lot more focus on the second part.<br /><br />3. Almost no weight was given to what Fingersmiths were and how it affected their personalities. I found it rather annoying that the series did not properly address such central topic. <br /><br />4. The ending was much more hasty than in Tipping the Velvet. Fingersmith left several interesting plot lines open.<br /><br />Despite these shortcomings, Fingersmith is a good series, and well worth 7/10. However, it is not a classic like Tipping the Velvet."
17,"Talking about competition features at the Split Film festival, we have titles from all over the world. China, Korea, Canada, USA and Australia and many of these stories are indicating that the world is really valley of tears. Modern love...thats for sure. <br /><br />In that movie by Alex Frayne, two younger married people and their boy are traveling from town to the coast to visit the grave and house of the man's uncle who raised him a long time ago and who died in mysterious circumstances. The coastal village seems like something in an American horror film where the village is bizarre and people are uncommon mutants. But episodes in Alex Frayne's pastorella can't be described as horror in the normal way. In fact this is an extreme interesting drama where we are seeing relationships and horror through flashbacks and much more. In this story and through obviously psychological facets of the actors we are shown a peep show of film some charmingly eccentric Australian film-making. Thus is the the case of Frayne. Always something new and fresh. Visual intelligence and unique sensibility of some Australian directors is astonishing good. Frayne's movie is super. There is something in the Australian landscape that shows their movies so special as we have see in FRAYNE's Modern Love and in RAY Lawrence movies Lantana and Jindabyne.<br /><br />It seems it will be the same in future titles of Alex Frayne."
18,"In Los Angeles, the alcoholic and lazy Hank Chinaski (Matt Dillon) performs a wide range of non-qualified functions just to get enough money to drink and gamble in horse races. His primary and only objective is writing and having sexy with dirty women.<br /><br />""Factotum"" is an uninteresting, pointless and extremely boring movie about an irresponsible drunken vagrant that works a couple of days or weeks just to get enough money to buy spirits and gamble, being immediately fired due to his reckless behavior. In accordance with IMDb, this character would be the fictional alter-ego of the author Charles Bukowski, and based on this story, I will certainly never read any of his novels. Honestly, if the viewer likes this theme of alcoholic couples, better off watching the touching and heartbreaking Hector Babenco's ""Ironweed"" or Marco Ferreri's ""Storie di Ordinaria Follia"" that is based on the life of the same writer. My vote is four.<br /><br />Title (Brazil): ""Factotum <U+0096> Sem Destino"" (""Factotum <U+0096> Without Destiny"")"
19,"I'm not at all picky about horror movies, and I'm willing to watch pretty much any of them. That doesn't mean that I'm willing to re-watch many of them, or that I won't have criticism for them. This movie is creepy, and is very well done. In fact, I think this movie would make an excellent double-bill with Session 9.<br /><br />I should specify, before I get to my comments, that I watched this alone. I started watching it before going to bed, and got about 15 minutes in before I realized that it was too effective, so I saved the rest of it for the morning. Even while watching it in broad daylight, it was still creepy. However, I can't vouch for how effective it would be when watching in a larger group.<br /><br />After the death of their daughter, a couple move to a remote cabin as a means of trying to come to terms with this death. Let me make note of this death - this is one of the rare movies that doesn't shy away from the death of a child. This is much more important, as it both sets the tone, as well as explains much of the acting that permeates the movie.<br /><br />The couple is not doing well. The wife has distanced herself from the relationship, and the husband is doing what he can to try to bring her back. While some of the comments have complained about their acting - one specified that they act more like a father and daughter than husband and wife, and that's legitimate. He's trying to give her more direction. It's a role that men sometimes take on.<br /><br />There are a variety of scares in the film, and most are fairly non-violent, though grotesque in some ways. The story itself feels very straightforward for most of the film, and takes an odd turn near the end. While the turn is not absurd, it is certainly not what you expected from the way things had been progressing.<br /><br />Moody, atmospheric, and very well done for something that appears to have been shot on video."
20,"I have seen Dirty Work several times and is probably my favourite Stan and Ollie short.<br /><br />In this one, Stan and Ollie are chimney sweeps and get the job to clean the chimney at the home of Professor Noodle (Lucien Littlefield). While Noodle is doing mad experiments in his lab, Stan and Ollie cause much chaos trying to clean the chimney and make a mess of the living room. The end is where Ollie falls into a tank of special formula that Noodle uses for his experiments and this turns him into a chimp! The best part is where Ollie falls down the chimney and loads of bricks land on his head, but he doesn't seem to suffer much pain from this.<br /><br />Dirty Work is Stan and Ollie at their funniest. Great fun.<br /><br />Rating: 5 stars out of 5."
